(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpicxx matmul.cpp -o matmul -lstdc++
(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 1 ./matmul
Size:  128 | Runs:   8.07ms   6.79ms   8.03ms   8.35ms   8.20ms | Avg:   7.89ms
Size:  256 | Runs:  89.62ms  80.83ms  62.17ms  74.65ms  73.46ms | Avg:  76.15ms
Size:  384 | Runs: 339.87ms 284.09ms 282.55ms 293.26ms 250.72ms | Avg: 290.10ms
Size:  512 | Runs: 1119.78ms 1200.69ms 1115.52ms 1435.58ms 1648.16ms | Avg: 1303.95ms
Size:  640 | Runs: 2976.24ms 2599.94ms 2826.61ms 2480.89ms 2380.78ms | Avg: 2652.89ms
Size:  768 | Runs: 5729.19ms 6475.42ms 7535.09ms 7516.62ms 7326.96ms | Avg: 6916.65ms
Size:  896 | Runs: 9842.24ms 8341.01ms 7462.65ms 7599.75ms 8800.67ms | Avg: 8409.26ms
Size: 1024 | Runs: 19528.65ms 13874.90ms 13459.58ms 17002.78ms 15258.27ms | Avg: 15824.84ms
Size: 1152 | Runs: 17330.62ms 18000.48ms 19846.46ms 19552.83ms 19020.84ms | Avg: 18750.25ms
Size: 1280 | Runs: 29337.39ms 33100.92ms 34756.26ms 33881.28ms 36983.75ms | Avg: 33611.92ms
Size: 1408 | Runs: 38841.00ms 42566.22ms 42545.09ms 39202.55ms 39557.91ms | Avg: 40542.55ms
Size: 1536 | Runs: 60680.93ms 74684.91ms 74748.86ms 70824.55ms 72627.19ms | Avg: 70713.29ms
Size: 1664 | Runs: 75408.61ms 74832.21ms 74725.99ms 71997.46ms 70629.48ms | Avg: 73518.75ms
Size: 1792 | Runs: 93386.09ms 100518.62ms 103210.41ms 104154.85ms 101045.16ms | Avg: 100463.03ms
Size: 1920 | Runs: 114587.89ms 118189.45ms 122216.95ms 117857.19ms 119522.41ms | Avg: 118474.78ms
Size: 2048 | Runs: 169693.46ms 176298.62ms 200181.28ms 150481.89ms 166386.99ms | Avg: 172608.45ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 2 ./matmul
Size:  128 | Runs:   7.11ms   6.08ms   5.01ms   4.77ms   8.10ms | Avg:   6.21ms
Size:  256 | Runs:  65.87ms  42.21ms  54.69ms  46.54ms  46.15ms | Avg:  51.09ms
Size:  384 | Runs: 181.74ms 191.19ms 159.16ms 170.05ms 159.64ms | Avg: 172.36ms
Size:  512 | Runs: 731.99ms 690.61ms 562.58ms 587.60ms 633.37ms | Avg: 641.23ms
Size:  640 | Runs: 1370.64ms 1309.77ms 1480.09ms 1401.46ms 1363.76ms | Avg: 1385.15ms
Size:  768 | Runs: 3262.13ms 3421.04ms 3171.30ms 3126.59ms 3322.79ms | Avg: 3260.77ms
Size:  896 | Runs: 3995.06ms 4273.19ms 4266.66ms 4321.16ms 4133.26ms | Avg: 4197.86ms
Size: 1024 | Runs: 7987.34ms 8278.59ms 7027.26ms 7896.90ms 8309.46ms | Avg: 7899.91ms
Size: 1152 | Runs: 9878.13ms 10804.13ms 10603.84ms 10208.34ms 10247.86ms | Avg: 10348.46ms
Size: 1280 | Runs: 16808.97ms 17761.69ms 17651.34ms 18260.55ms 18454.16ms | Avg: 17787.34ms
Size: 1408 | Runs: 20744.64ms 21668.00ms 25073.60ms 22384.82ms 22047.81ms | Avg: 22383.78ms
Size: 1536 | Runs: 36698.17ms 35166.71ms 35044.69ms 34230.49ms 34579.03ms | Avg: 35143.82ms
Size: 1664 | Runs: 34765.78ms 35002.37ms 35318.54ms 35516.03ms 34965.06ms | Avg: 35113.56ms
Size: 1792 | Runs: 47870.19ms 48491.69ms 48311.98ms 48243.50ms 48891.96ms | Avg: 48361.86ms
Size: 1920 | Runs: 57281.85ms 57402.37ms 56672.42ms 57424.86ms 57619.27ms | Avg: 57280.15ms
Size: 2048 | Runs: 122818.55ms 96570.16ms 169907.10ms 181737.13ms 155635.10ms | Avg: 145333.61ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 3 ./matmul
Size:  128 | Runs:   3.77ms   2.70ms   2.68ms   2.50ms   2.60ms | Avg:   2.85ms
Size:  256 | Runs:  40.09ms  21.58ms  29.94ms  30.13ms  22.31ms | Avg:  28.81ms
Size:  384 | Runs: 119.53ms  84.96ms  86.70ms  97.89ms  86.83ms | Avg:  95.18ms
Size:  512 | Runs: 361.66ms 411.82ms 408.31ms 329.61ms 445.29ms | Avg: 391.34ms
Size:  640 | Runs: 850.43ms 857.47ms 714.54ms 734.19ms 790.57ms | Avg: 789.44ms
Size:  768 | Runs: 1983.32ms 1894.18ms 1775.84ms 2042.78ms 1961.94ms | Avg: 1931.61ms
Size:  896 | Runs: 3142.70ms 2755.03ms 2546.64ms 2715.93ms 2562.24ms | Avg: 2744.51ms
Size: 1024 | Runs: 5059.64ms 4538.34ms 4727.55ms 4883.56ms 4687.93ms | Avg: 4779.40ms
Size: 1152 | Runs: 5900.50ms 5884.09ms 6186.85ms 6032.29ms 6201.52ms | Avg: 6041.05ms
Size: 1280 | Runs: 10612.74ms 10922.97ms 11494.58ms 11250.80ms 11034.28ms | Avg: 11063.08ms
Size: 1408 | Runs: 12703.01ms 13956.57ms 14520.32ms 14225.37ms 13491.93ms | Avg: 13779.44ms
Size: 1536 | Runs: 25347.08ms 25299.67ms 25378.48ms 24589.83ms 24688.19ms | Avg: 25060.65ms
Size: 1664 | Runs: 24919.40ms 27151.53ms 26372.24ms 25511.69ms 24947.16ms | Avg: 25780.40ms
