Processes: 1
Size:  128 | Runs:     0.01 ms      0.01 ms         0.02 ms         0.03 ms         0.04 ms      | Avg Time:     6.72 ms
Size:  256 | Runs:     0.09 ms      0.15 ms         0.21 ms         0.27 ms         0.32 ms      | Avg Time:    55.44 ms
Size:  384 | Runs:     0.52 ms      0.71 ms         0.90 ms         1.08 ms         1.28 ms      | Avg Time:   186.53 ms
Size:  512 | Runs:     1.88 ms      2.39 ms         2.91 ms         3.44 ms         4.00 ms      | Avg Time:   536.21 ms
Size:  640 | Runs:     5.75 ms      7.61 ms         9.35 ms        11.15 ms        12.93 ms      | Avg Time:  1766.77 ms
Size:  768 | Runs:    16.66 ms     20.17 ms        23.58 ms        27.19 ms        30.76 ms      | Avg Time:  3528.06 ms
Size:  896 | Runs:    36.17 ms     41.12 ms        46.03 ms        50.99 ms        56.02 ms      | Avg Time:  5004.17 ms
Size: 1024 | Runs:    65.41 ms     73.96 ms        82.54 ms        91.02 ms        99.57 ms      | Avg Time:  8639.47 ms
Size: 1152 | Runs:   111.78 ms    124.07 ms       136.27 ms       148.48 ms       161.00 ms      | Avg Time: 12207.27 ms
Size: 1280 | Runs:   181.69 ms    201.67 ms       221.07 ms       240.83 ms       260.97 ms      | Avg Time: 19900.61 ms
Size: 1408 | Runs:   290.10 ms    318.84 ms       348.49 ms       376.59 ms       403.76 ms      | Avg Time: 28452.48 ms
Size: 1536 | Runs:   450.20 ms    491.61 ms       541.96 ms       589.75 ms       632.94 ms      | Avg Time: 45706.88 ms
Size: 1664 | Runs:   690.85 ms    752.05 ms       810.74 ms       871.11 ms       927.88 ms      | Avg Time: 58833.34 ms
Size: 1792 | Runs:  1009.72 ms   1094.83 ms      1179.25 ms      1262.71 ms      1346.24 ms      | Avg Time: 83493.80 ms
Size: 1920 | Runs:  1443.13 ms   1539.79 ms      1637.07 ms      1737.00 ms      1831.05 ms      | Avg Time: 96751.14 ms
Size: 2048 | Runs:  2115.17 ms   2408.14 ms      2700.86 ms      2979.31 ms      3282.14 ms      | Avg Time: 289986.57 ms

Processes: 2
Size:  128 | Runs:     0.00 ms      0.01 ms         0.01 ms         0.04 ms         0.04 ms      | Avg Time:     7.48 ms
Size:  256 | Runs:     0.09 ms      0.16 ms         0.21 ms         0.28 ms         0.33 ms      | Avg Time:    48.00 ms
Size:  384 | Runs:     0.53 ms      0.73 ms         0.92 ms         1.10 ms         1.31 ms      | Avg Time:   182.58 ms
Size:  512 | Runs:     1.96 ms      2.56 ms         3.16 ms         3.76 ms         4.36 ms      | Avg Time:   588.98 ms
Size:  640 | Runs:     5.32 ms      6.25 ms         6.88 ms         7.81 ms         8.82 ms      | Avg Time:   872.35 ms
Size:  768 | Runs:    11.63 ms     14.87 ms        16.82 ms        18.82 ms        20.70 ms      | Avg Time:  2335.46 ms
