Processes: 1
Size:  128 | Runs:     0.01 ms      0.01 ms         0.04 ms         0.05 ms         0.06 ms      | Avg Time:    10.66 ms
Size:  256 | Runs:     0.19 ms      0.31 ms         0.41 ms         0.53 ms         0.64 ms      | Avg Time:   115.99 ms
Size:  384 | Runs:     1.04 ms      1.44 ms         1.85 ms         2.23 ms         2.61 ms      | Avg Time:   380.52 ms
Size:  512 | Runs:     3.79 ms      4.86 ms         5.93 ms         6.98 ms         8.03 ms      | Avg Time:  1060.10 ms
Size:  640 | Runs:     9.94 ms     11.68 ms        13.47 ms        15.25 ms        17.04 ms      | Avg Time:  1777.04 ms
Size:  768 | Runs:    20.76 ms     24.45 ms        27.96 ms        31.44 ms        34.96 ms      | Avg Time:  3551.55 ms
Size:  896 | Runs:    40.02 ms     44.94 ms        49.94 ms        55.21 ms        60.11 ms      | Avg Time:  4982.36 ms
Size: 1024 | Runs:    69.58 ms     78.15 ms        86.61 ms        95.17 ms       103.99 ms      | Avg Time:  8710.83 ms
Size: 1152 | Runs:   115.52 ms    127.66 ms       140.11 ms       152.66 ms       165.38 ms      | Avg Time: 12201.28 ms
Size: 1280 | Runs:   185.02 ms    204.13 ms       223.09 ms       242.09 ms       262.37 ms      | Avg Time: 19307.81 ms
Size: 1408 | Runs:   290.24 ms    319.02 ms       349.75 ms       379.02 ms       408.63 ms      | Avg Time: 29146.09 ms
Size: 1536 | Runs:   452.97 ms    492.96 ms       543.83 ms       589.77 ms       633.28 ms      | Avg Time: 44778.08 ms
Size: 1664 | Runs:   690.29 ms    749.04 ms       808.85 ms       868.66 ms       926.40 ms      | Avg Time: 58466.60 ms
Size: 1792 | Runs:  1008.28 ms   1083.83 ms      1168.02 ms      1242.47 ms      1326.17 ms      | Avg Time: 79762.20 ms
Size: 1920 | Runs:  1415.08 ms   1515.38 ms      1606.35 ms      1706.24 ms      1794.83 ms      | Avg Time: 93517.80 ms
Size: 2048 | Runs:  2102.64 ms   2407.53 ms      2686.44 ms      2988.60 ms      3284.89 ms      | Avg Time: 297773.79 ms

Processes: 2
Size:  128 | Runs:     0.00 ms      0.01 ms         0.01 ms         0.02 ms         0.02 ms      | Avg Time:     3.43 ms
Size:  256 | Runs:     0.09 ms      0.16 ms         0.23 ms         0.30 ms         0.35 ms      | Avg Time:    64.02 ms
Size:  384 | Runs:     0.58 ms      0.79 ms         1.03 ms         1.30 ms         1.54 ms      | Avg Time:   226.13 ms
Size:  512 | Runs:     2.13 ms      2.71 ms         3.63 ms         4.77 ms         5.74 ms      | Avg Time:   822.25 ms
Size:  640 | Runs:     7.36 ms      8.54 ms         9.48 ms        10.44 ms        11.43 ms      | Avg Time:  1114.69 ms
Size:  768 | Runs:    13.40 ms     15.54 ms        17.55 ms        19.56 ms        21.83 ms      | Avg Time:  2041.90 ms
Size:  896 | Runs:    24.79 ms     27.65 ms        30.69 ms        33.58 ms        36.54 ms      | Avg Time:  2898.69 ms
Size: 1024 | Runs:    42.22 ms     50.04 ms        58.04 ms        64.21 ms        70.31 ms      | Avg Time:  6691.06 ms
Size: 1152 | Runs:    77.99 ms     85.99 ms        93.96 ms       102.51 ms       110.28 ms      | Avg Time:  7921.94 ms
Size: 1280 | Runs:   123.30 ms    137.49 ms       152.74 ms       167.07 ms       181.13 ms      | Avg Time: 14083.71 ms
Size: 1408 | Runs:   198.69 ms    216.15 ms       235.19 ms       252.55 ms       271.57 ms      | Avg Time: 17983.37 ms
Size: 1536 | Runs:   300.86 ms    329.31 ms       357.81 ms       384.95 ms       412.25 ms      | Avg Time: 28002.13 ms
Size: 1664 | Runs:   446.79 ms    480.10 ms       512.19 ms       546.63 ms       581.10 ms      | Avg Time: 33611.42 ms
Size: 1792 | Runs:   626.73 ms    672.89 ms       720.95 ms       769.99 ms       817.02 ms      | Avg Time: 47005.08 ms
Size: 1920 | Runs:   869.98 ms    926.46 ms       981.89 ms      1033.50 ms      1088.86 ms      | Avg Time: 54154.15 ms
Size: 2048 | Runs:  1259.30 ms   1421.65 ms      1595.32 ms      1770.06 ms      1939.53 ms      | Avg Time: 169895.99 ms

Processes: 3
Size:  128 | Runs:     0.00 ms      0.01 ms         0.01 ms         0.01 ms         0.02 ms      | Avg Time:     2.63 ms
Size:  256 | Runs:     0.04 ms      0.07 ms         0.10 ms         0.12 ms         0.15 ms      | Avg Time:    25.17 ms
Size:  384 | Runs:     0.25 ms      0.35 ms         0.45 ms         0.56 ms         0.66 ms      | Avg Time:    96.06 ms
Size:  512 | Runs:     0.94 ms      1.20 ms         1.55 ms         1.80 ms         2.01 ms      | Avg Time:   262.66 ms
Size:  640 | Runs:     2.36 ms      2.70 ms         3.27 ms         3.89 ms         4.39 ms      | Avg Time:   459.95 ms
Size:  768 | Runs:     5.31 ms      6.45 ms         7.36 ms         8.14 ms         9.23 ms      | Avg Time:   948.56 ms
Size:  896 | Runs:    11.05 ms     12.40 ms        14.04 ms        15.96 ms        17.46 ms      | Avg Time:  1618.78 ms
Size: 1024 | Runs:    20.92 ms     24.06 ms        27.37 ms        30.81 ms        34.19 ms      | Avg Time:  3311.65 ms
Size: 1152 | Runs:    38.26 ms     41.99 ms        46.03 ms        50.09 ms        54.45 ms      | Avg Time:  4005.73 ms
Size: 1280 | Runs:    61.57 ms     68.92 ms        76.41 ms        83.75 ms        91.09 ms      | Avg Time:  7269.51 ms
Size: 1408 | Runs:   100.26 ms    108.80 ms       117.50 ms       125.86 ms       135.03 ms      | Avg Time:  8719.03 ms
Size: 1536 | Runs:   151.08 ms    166.90 ms       181.21 ms       196.08 ms       209.65 ms      | Avg Time: 14840.45 ms
Size: 1664 | Runs:   225.92 ms    242.14 ms       258.04 ms       272.60 ms       289.10 ms      | Avg Time: 15794.26 ms
Size: 1792 | Runs:   310.98 ms    332.75 ms       355.36 ms       377.01 ms       398.22 ms      | Avg Time: 21715.39 ms
Size: 1920 | Runs:   425.52 ms    449.84 ms       476.92 ms       504.76 ms       533.25 ms      | Avg Time: 26865.83 ms
Size: 2048 | Runs:   626.56 ms    718.71 ms       814.57 ms       912.09 ms      1009.89 ms      | Avg Time: 95187.82 ms

Processes: 4
Size:  128 | Runs:     0.00 ms      0.00 ms         0.01 ms         0.01 ms         0.01 ms      | Avg Time:     2.10 ms
Size:  256 | Runs:     0.03 ms      0.05 ms         0.07 ms         0.10 ms         0.14 ms      | Avg Time:    22.29 ms
Size:  384 | Runs:     0.24 ms      0.35 ms         0.45 ms         0.54 ms         0.62 ms      | Avg Time:    91.62 ms
Size:  512 | Runs:     0.94 ms      1.28 ms         1.58 ms         1.90 ms         2.21 ms      | Avg Time:   306.59 ms
Size:  640 | Runs:     2.64 ms      3.03 ms         3.44 ms         3.96 ms         4.43 ms      | Avg Time:   427.64 ms
Size:  768 | Runs:     5.62 ms      6.82 ms         8.08 ms         9.20 ms        10.60 ms      | Avg Time:  1210.03 ms
Size:  896 | Runs:    12.10 ms     13.63 ms        15.12 ms        16.68 ms        18.33 ms      | Avg Time:  1513.40 ms
Size: 1024 | Runs:    21.34 ms     24.74 ms        27.66 ms        30.51 ms        33.95 ms      | Avg Time:  3080.37 ms
Size: 1152 | Runs:    37.95 ms     41.87 ms        45.85 ms        49.86 ms        53.92 ms      | Avg Time:  3943.09 ms
Size: 1280 | Runs:    60.62 ms     67.87 ms        74.67 ms        81.98 ms        88.96 ms      | Avg Time:  6946.49 ms
Size: 1408 | Runs:    97.61 ms    105.63 ms       114.17 ms       122.50 ms       130.88 ms      | Avg Time:  8313.09 ms
Size: 1536 | Runs:   144.25 ms    157.19 ms       171.00 ms       184.25 ms       197.45 ms      | Avg Time: 13224.28 ms
Size: 1664 | Runs:   212.67 ms    227.31 ms       241.38 ms       255.98 ms       270.55 ms      | Avg Time: 14510.20 ms
Size: 1792 | Runs:   289.62 ms    309.48 ms       329.82 ms       350.20 ms       369.08 ms      | Avg Time: 19581.54 ms
Size: 1920 | Runs:   392.39 ms    416.15 ms       438.81 ms       462.09 ms       486.55 ms      | Avg Time: 23342.86 ms
Size: 2048 | Runs:   561.91 ms    639.16 ms       716.48 ms       796.63 ms       882.58 ms      | Avg Time: 79049.94 ms

Processes: 5
Size:  128 | Runs:     0.00 ms      0.00 ms         0.01 ms         0.01 ms         0.01 ms      | Avg Time:     2.07 ms
Size:  256 | Runs:     0.03 ms      0.06 ms         0.08 ms         0.11 ms         0.13 ms      | Avg Time:    22.01 ms
Size:  384 | Runs:     0.20 ms      0.27 ms         0.35 ms         0.44 ms         0.53 ms      | Avg Time:    73.02 ms
Size:  512 | Runs:     0.81 ms      1.06 ms         1.31 ms         1.58 ms         1.84 ms      | Avg Time:   251.59 ms
Size:  640 | Runs:     2.21 ms      2.59 ms         2.96 ms         3.34 ms         3.78 ms      | Avg Time:   372.12 ms
Size:  768 | Runs:     4.66 ms      5.52 ms         6.41 ms         7.33 ms         8.26 ms      | Avg Time:   873.72 ms
Size:  896 | Runs:     9.60 ms     10.86 ms        12.28 ms        13.50 ms        14.76 ms      | Avg Time:  1268.98 ms
Size: 1024 | Runs:    17.65 ms     20.70 ms        23.69 ms        26.63 ms        29.81 ms      | Avg Time:  2963.23 ms
