total_points,points_in_circle,pi_estimate,time_ms
1024,801,3.12890625,0.9
2048,1610,3.14453125,0.913
3072,2439,3.17578125,0.6
4096,3283,3.20605469,0.797
5120,3987,3.11484375,1.271
6144,4844,3.15364583,0.839
7168,5590,3.11941964,0.772
8192,6450,3.14941406,0.947
9216,7270,3.15538194,0.739
10240,8022,3.13359375,0.716
11264,8819,3.13174716,0.931
12288,9639,3.13769531,1.004
13312,10510,3.15805288,0.799
14336,11247,3.13811384,0.728
15360,11995,3.12369792,0.899
16384,12898,3.14892578,0.451
17408,13609,3.12706801,0.844
18432,14491,3.14474826,0.507
19456,15294,3.14432566,0.993
20480,16139,3.15214844,0.971
21504,16996,3.16145833,0.803
22528,17659,3.13547585,1.117
23552,18390,3.12330163,0.839
24576,19392,3.15625,0.802
25600,20061,3.13453125,0.872
26624,20950,3.14753606,0.403
27648,21708,3.140625,0.833
28672,22601,3.15304129,0.577
29696,23310,3.13981681,0.632
30720,24063,3.13320313,0.422
31744,24823,3.12789819,0.786
32768,25814,3.15112305,0.937
33792,26527,3.14003314,0.451
34816,27378,3.14545037,0.62
35840,28184,3.14553571,0.839
36864,28898,3.13563368,0.73
37888,29809,3.14706503,0.785
38912,30631,3.14874589,0.916
39936,31410,3.14603365,0.774
40960,32184,3.14296875,1.033
41984,33085,3.1521532,0.744
43008,33723,3.13643973,0.653
44032,34683,3.15070858,0.713
45056,35345,3.13787287,0.625
46080,36237,3.14557292,0.77
47104,37038,3.1452106,0.953
48128,37812,3.14261968,0.858
49152,38537,3.13614909,1.02
50176,39325,3.13496492,0.722
51200,39983,3.12367187,0.621
52224,40826,3.12699142,0.919
53248,41937,3.1503155,0.911
54272,42627,3.14173054,0.64
55296,43413,3.14040799,0.76
56320,44113,3.13302557,0.588
57344,44987,3.13804408,0.766
58368,45790,3.13802083,0.751
59392,46458,3.12890625,0.828
60416,47412,3.13903602,0.631
61440,48143,3.1343099,0.758
62464,49143,3.14696465,0.681
63488,50077,3.15505292,1.044
64512,50691,3.14304315,0.611
65536,51491,3.14276123,0.67
