Matrix,Size,ThreadsPolicy,Time(ms),Correct
128,1,STATIC,4.79,Yes
128,2,STATIC,2.59,Yes
128,3,STATIC,1.8,Yes
128,4,STATIC,1.49,Yes
128,5,STATIC,1.62,Yes
128,6,STATIC,1.76,Yes
128,7,STATIC,1.41,Yes
128,8,STATIC,1.48,Yes
128,9,STATIC,1.25,Yes
128,10,STATIC,1.35,Yes
128,11,STATIC,1.18,Yes
128,12,STATIC,1.02,Yes
128,13,STATIC,1.1,Yes
128,14,STATIC,1.33,Yes
128,15,STATIC,2.7,Yes
128,16,STATIC,1.01,Yes
256,1,STATIC,35.61,Yes
256,2,STATIC,18.18,Yes
256,3,STATIC,12.05,Yes
256,4,STATIC,9.96,Yes
256,5,STATIC,8.18,Yes
256,6,STATIC,12.45,Yes
256,7,STATIC,10.59,Yes
256,8,STATIC,9.44,Yes
256,9,STATIC,8.64,Yes
256,10,STATIC,7.78,Yes
256,11,STATIC,6.97,Yes
256,12,STATIC,6.54,Yes
256,13,STATIC,6.07,Yes
256,14,STATIC,5.62,Yes
256,15,STATIC,5.7,Yes
256,16,STATIC,6.53,Yes
384,1,STATIC,119.81,Yes
384,2,STATIC,77.07,Yes
384,3,STATIC,68.22,Yes
384,4,STATIC,38.83,Yes
384,5,STATIC,40.19,Yes
384,6,STATIC,22.61,Yes
384,7,STATIC,31.13,Yes
384,8,STATIC,26.39,Yes
384,9,STATIC,27.4,Yes
384,10,STATIC,25.82,Yes
384,11,STATIC,22.3,Yes
384,12,STATIC,20.97,Yes
384,13,STATIC,19.68,Yes
384,14,STATIC,19.54,Yes
384,15,STATIC,20.8,Yes
384,16,STATIC,22.9,Yes
512,1,STATIC,287.59,Yes
512,2,STATIC,147.45,Yes
512,3,STATIC,122.45,Yes
512,4,STATIC,99.76,Yes
512,5,STATIC,86.55,Yes
512,6,STATIC,74.11,Yes
512,7,STATIC,70.95,Yes
512,8,STATIC,67.54,Yes
512,9,STATIC,59.93,Yes
512,10,STATIC,62.35,Yes
512,11,STATIC,55.94,Yes
512,12,STATIC,54.15,Yes
512,13,STATIC,50.42,Yes
512,14,STATIC,47.25,Yes
512,15,STATIC,47.13,Yes
512,16,STATIC,47.97,Yes
640,1,STATIC,547.14,Yes
640,2,STATIC,298.25,Yes
640,3,STATIC,211.09,Yes
640,4,STATIC,168.65,Yes
640,5,STATIC,155.41,Yes
640,6,STATIC,142.68,Yes
640,7,STATIC,127.47,Yes
640,8,STATIC,102.65,Yes
640,9,STATIC,107.44,Yes
640,10,STATIC,108.37,Yes
640,11,STATIC,104.07,Yes
640,12,STATIC,94.88,Yes
640,13,STATIC,89.6,Yes
640,14,STATIC,90.27,Yes
640,15,STATIC,85.33,Yes
640,16,STATIC,86.24,Yes
768,1,STATIC,978.47,Yes
768,2,STATIC,542.71,Yes
768,3,STATIC,370.55,Yes
768,4,STATIC,343.42,Yes
768,5,STATIC,248.97,Yes
768,6,STATIC,229.24,Yes
768,7,STATIC,209.11,Yes
