Size,Threads,Schedule,Time,Iterations
500x500,1,static,37.596771,16929
500x500,1,dynamic,37.776140,16929
500x500,2,static,21.201483,16929
500x500,2,dynamic,24.012440,16929
500x500,3,static,18.666027,16929
500x500,3,dynamic,19.155524,16929
500x500,4,static,16.280396,16929
500x500,4,dynamic,17.718838,16929
500x500,5,static,17.109413,16929
500x500,5,dynamic,17.646699,16929
500x500,6,static,17.044954,16929
500x500,6,dynamic,17.186294,16929
500x500,7,static,18.804063,16929
500x500,7,dynamic,17.409779,16929
500x500,8,static,19.123281,16929
500x500,8,dynamic,17.629890,16929
500x500,9,static,19.113296,16929
500x500,9,dynamic,18.253501,16929
500x500,10,static,19.313321,16929
500x500,10,dynamic,18.018298,16929
500x500,11,static,20.224674,16929
500x500,11,dynamic,18.982924,16929
500x500,12,static,21.203190,16929
500x500,12,dynamic,19.652962,16710
500x500,13,static,22.623029,16929
500x500,13,dynamic,22.245437,16929
500x500,14,static,23.728101,16929
500x500,14,dynamic,23.766086,16907
500x500,15,static,24.795387,16929
500x500,15,dynamic,24.231665,16929
500x500,16,static,26.335343,16929
500x500,16,dynamic,25.582289,16728
