Processes,Experiment,Serial_FFT(s),MPI_FFT(s),Speedup
1,1,0.957352,0.937191,1.02151
1,2,0.84349,0.869976,0.969556
1,3,0.875518,0.853405,1.02591
1,4,0.839088,0.826375,1.01538
1,5,0.844139,0.832098,1.01447
1,6,0.849363,0.83839,1.01309
1,7,0.850718,0.839515,1.01334
1,8,0.889778,0.892473,0.99698
1,9,0.85999,0.852145,1.00921
1,10,0.870101,0.833042,1.04449
2,1,0.913274,0.490285,1.86274
2,2,0.91178,0.475712,1.91666
2,3,0.976424,0.491102,1.98823
2,4,0.915356,0.487676,1.87698
2,5,0.961189,0.457022,2.10316
2,6,0.946203,0.474423,1.99443
2,7,0.927561,0.47506,1.95251
2,8,0.962152,0.470534,2.04481
2,9,1.02658,0.515519,1.99135
2,10,0.944357,0.497855,1.89685
4,1,1.03103,0.289163,3.56555
4,2,0.988049,0.280471,3.52282
4,3,1.11248,0.307516,3.61763
4,4,1.07702,0.323941,3.32473
4,5,1.04646,0.308902,3.38769
4,6,1.07252,0.293279,3.657
4,7,1.11505,0.283586,3.93198
4,8,1.09492,0.285272,3.83815
4,9,1.01609,0.316875,3.2066
4,10,1.05613,0.311372,3.39184
8,1,1.35978,0.212202,6.40794
8,2,1.37574,0.199177,6.9071
8,3,1.26033,0.193687,6.50702
8,4,1.25421,0.21097,5.94494
8,5,1.25998,0.211492,5.95758
8,6,1.2492,0.222176,5.62258
8,7,1.31457,0.204622,6.4244
8,8,1.33841,0.192933,6.93715
8,9,1.31897,0.208779,6.31752
8,10,1.38875,0.205781,6.74867
16,1,1.88763,0.192861,9.78756
16,2,1.93786,0.161683,11.9856
16,3,1.89342,0.14712,12.8699
16,4,1.8235,0.1553,11.7418
16,5,1.89105,0.150365,12.5764
16,6,1.92476,0.16118,11.9417
16,7,1.89766,0.157825,12.0238
16,8,1.94745,0.158138,12.3149
16,9,1.88051,0.157008,11.9772
16,10,1.92012,0.152422,12.5973
