Threads,Experiment1,Experiment2,Experiment3,Experiment4,Experiment5,Experiment6,Experiment7,Experiment8,Experiment9,Experiment10,Average
1,37.7431,37.1401,37.3016,37.6108,37.32,36.7183,35.8797,36.9604,35.6149,35.0598,36.735
2,20.0757,19.5234,19.5186,19.3027,18.4575,19.3499,18.3109,20.0069,24.0424,20.1761,19.977
3,13.6898,14.6551,15.3852,13.2918,14.6659,14.0765,13.271,17.1607,16.5849,14.8912,14.764
4,11.2175,12.3329,10.9824,11.1315,11.3892,12.3425,11.9933,12.0543,13.0563,12.2677,11.897
5,11.3315,10.4459,10.972,11.0126,9.7111,11.1044,11.4541,9.55084,10.7168,9.80746,10.711
6,8.08151,9.15812,8.69348,8.94214,10.288,9.71353,9.85466,10.1951,8.30935,9.99255,9.322
7,9.25448,8.90933,9.08751,9.19577,11.0639,8.75683,8.62242,8.39617,9.09944,8.82229,9.121
8,8.09999,8.0384,8.56321,8.82529,10.2496,9.0532,9.49243,8.85174,8.2679,9.33645,8.878
9,10.0294,8.25602,9.18614,7.73603,7.29692,7.55338,7.18088,7.73872,7.87098,7.01337,7.987
10,7.65018,7.36431,7.78639,7.53113,6.81332,7.16581,7.52371,7.13343,8.61319,7.85817,7.544
11,8.19501,7.1337,17.0986,8.64706,7.63555,8.16491,7.74682,8.89102,7.83857,8.24524,8.970
12,9.64156,7.77645,10.0763,6.3826,7.30411,8.37351,7.71633,9.93147,6.58862,8.48814,8.176
13,8.01177,11.5968,7.0301,8.29077,8.54166,6.61659,7.50468,6.84062,7.58873,9.30081,8.152
14,8.17535,7.85897,7.0006,10.9772,8.06588,8.09637,9.01282,6.9071,8.22264,7.4781,8.180
15,7.37531,8.57154,9.24075,7.92628,7.18322,9.521,7.50757,8.12244,11.0114,7.27053,8.364
16,17.569,23.5091,16.3587,22.8949,8.07267,20.481,27.5408,14.9414,16.6895,15.9217,18.498
