MatrixSize,BlockSize,Trial1,Trial2,Trial3,Trial4,Trial5,Average
512,8,2.80131,3.23949,2.60666,3.40538,2.7375,2.958
512,16,2.68877,3.60083,2.65421,2.93165,3.7455,3.124
512,32,2.85837,2.70698,3.74272,2.59626,2.61546,2.904
512,64,3.86781,2.7481,2.94659,2.65248,3.64509,3.172
1024,8,3.71398,3.28835,2.91846,2.71194,3.10227,3.147
1024,16,3.17091,2.9616,4.2617,3.09318,3.86269,3.470
1024,32,3.1311,2.93539,3.06307,2.80256,3.04797,2.996
1024,64,2.96941,2.33059,2.89978,3.09046,6.9017,3.638
1536,8,3.02947,3.13962,3.36947,2.71821,2.6895,2.989
1536,16,3.10285,3.76896,2.92205,3.05798,3.00186,3.171
1536,32,3.78934,2.94262,3.31821,3.06522,4.15357,3.454
1536,64,2.40195,3.32771,2.7393,3.2912,2.77603,2.907
2048,8,4.14445,3.56835,3.05747,3.94093,3.01565,3.545
2048,16,3.5905,3.10269,3.08141,4.03594,3.4697,3.456
2048,32,3.05888,3.79491,3.76794,4.03037,3.22842,3.576
2048,64,3.4104,2.74736,2.83782,3.12333,3.40042,3.104
